1,48.1351,11.5820,52.5200,13.4050,Munich,Berlin
2,48.1480,11.5727,50.1109,8.6821,Unterföhring,Frankfurt
3,48.1374,11.5755,51.0504,13.7373,Haidhausen,Dresden
4,48.1515,11.5607,50.9375,6.9603,Schwabing,Cologne
5,48.1833,11.5677,48.7758,9.1829,Feldmoching,Stuttgart
6,48.1208,11.5581,49.0069,8.4037,Harlaching,Karlsruhe
7,48.1500,11.5656,49.4521,11.0767,Bogenhausen,Nuremberg
8,48.1454,11.5672,48.1351,11.5820,Maxvorstadt,Munich
9,48.1406,11.5570,50.9787,11.0328,Isarvorstadt,Erfurt
10,48.1246,11.5679,49.4875,8.4660,Giesing,Mannheim
11,48.1550,11.5693,50.0647,8.9706,Milbertshofen,Hanau
12,48.1803,11.5606,47.9945,7.8494,Oberschleißheim,Freiburg
13,48.1075,11.5703,48.0045,7.8567,Sendling,Vauban
14,48.1691,11.5631,48.2915,11.5844,Freimann,Dachau
15,48.2085,11.5731,49.7913,9.9534,Neufahrn,Würzburg
16,48.1321,11.5952,51.3397,12.3731,Altstadt,Leipzig
17,48.1125,11.5747,48.3705,10.8978,Thalkirchen,Augsburg
18,48.1297,11.5961,50.1115,8.6805,Laim,Frankfurt
19,48.1587,11.5764,49.4891,8.4662,Olympiapark,Mannheim
20,48.1927,11.5730,49.2347,6.9961,Eching,Saarbrücken
21,48.1079,11.5994,47.8095,13.0550,Mittersendling,Salzburg
22,48.1543,11.5627,49.8728,8.6512,Schwabing-West,Darmstadt
23,48.1741,11.5826,48.7649,9.1732,Lerchenau,Stuttgart
24,48.1388,11.5759,50.8333,12.9164,Glockenbachviertel,Plauen
25,48.1630,11.5761,48.4011,9.9937,München-Solln,Reutlingen
26,48.1284,11.5658,50.7753,6.0839,Pasing,Aachen
27,48.1506,11.5610,49.8725,8.6553,Hart,Darmstadt
28,48.1756,11.5592,51.3143,9.4909,Moosach,Kassel
29,48.1573,11.5663,48.8661,9.5454,Milbertshofen-Lerchenau,Pforzheim
30,48.1865,11.5725,48.7325,9.1290,Lohhof,Esslingen
31,48.1527,11.5675,48.0924,11.6754,Schwabing-Freimann,Haar
32,48.1719,11.5794,49.5923,11.0063,Hasenbergl,Erlangen
33,48.1562,11.5733,50.7369,7.0962,Neuhausen,Bonn
34,48.1234,11.5806,50.1155,8.6842,Giesing,Frankfurt
35,48.1535,11.5624,50.3540,7.5940,Bogenhausen,Koblenz
36,48.1789,11.5736,47.9990,7.8532,Neufahrn,Freiburg
37,48.1654,11.5742,48.7887,9.2269,Olympiapark,Ludwigsburg
38,48.1402,11.5767,50.7826,6.0940,Glockenbachviertel,Aachen
39,48.1155,11.5697,48.7052,9.6527,Sendling,Fellbach
40,48.1836,11.5713,50.1109,8.6821,Lerchenau,Frankfurt
41,48.1308,11.5735,50.8330,12.9294,Laim,Plauen
42,48.1591,11.5768,47.8007,13.0439,Maxvorstadt,Salzburg
43,48.1669,11.5771,48.1374,11.5755,Freimann,Haidhausen
44,48.1177,11.5699,51.3402,12.3747,Sendling,Leipzig
45,48.1915,11.5724,49.4032,11.0775,Eching,Nuremberg
46,48.1801,11.5734,50.9381,6.9603,Lohhof,Cologne
47,48.1557,11.5653,49.0069,8.4037,Milbertshofen,Karlsruhe
48,48.1416,11.5657,50.7753,6.0839,Glockenbachviertel,Aachen
49,48.1648,11.5712,51.0504,13.7373,Olympiapark,Dresden
50,48.1760,11.5676,47.8007,13.0439,Neufahrn,Salzburg
51,48.1678,11.5735,50.7391,7.0955,Hasenbergl,Bonn
52,48.1303,11.5708,50.9375,6.9603,Laim,Cologne
53,48.1267,11.5731,50.1109,8.6821,Sendling-Westpark,Frankfurt
54,48.1638,11.5763,48.2082,16.3738,Schwabing-West,Vienna
55,48.1449,11.5744,50.1155,8.6842,Maxvorstadt,Frankfurt
56,48.1935,11.5730,48.7649,9.1732,Eching,Stuttgart
57,48.1694,11.5726,49.8728,8.6512,Moosach,Darmstadt
58,48.1601,11.5687,49.8725,8.6553,Bogenhausen,Darmstadt
59,48.1772,11.5725,49.4875,8.4660,Lerchenau,Mannheim
60,48.1348,11.5746,51.0504,13.7373,Altstadt,Dresden
61,48.1817,11.5706,48.7758,9.1829,Feldmoching,Stuttgart
62,48.1169,11.5732,50.9787,11.0328,Mittersendling,Erfurt
63,48.1315,11.5749,48.2496,9.9964,Laim,Ulm
64,48.1447,11.5655,49.4779,8.4388,Haidhausen,Heidelberg
65,48.1282,11.5734,50.1109,8.6821,Pasing,Frankfurt
66,48.1536,11.5629,49.4875,8.4660,Schwabing,Mannheim
67,48.1670,11.5746,50.7753,6.0839,Freimann,Aachen
68,48.1362,11.5670,50.9787,11.0328,Glockenbachviertel,Erfurt
69,48.1582,11.5697,48.1351,11.5820,Olympiapark,Munich
